uid,avg_turnover_rub_1_month,avg_turnover_rub_3_month,avg_turnover_rub_6_month,pnl_rub
18086,-0.0761739107769698,-0.0804753569028992,-0.0810331990510134,4.3
21034,-0.0761737739004201,-0.0804752144704445,-0.0810330545189942,4.36
9542,-0.0761709757187773,-0.0793138170915327,-0.0798651741162257,4.95
4019,-0.0760467921740406,-0.0802959199168744,-0.0802924369821038,5.01
14427,-0.0761732758018078,-0.0517389693230392,-0.0612257680560413,5.06
11273,-0.0761730462989269,-0.0804744573351503,-0.0810322862229403,5.15
21083,-0.0761728345373922,-0.0804742369780821,-0.0810320626176385,5.51
14204,-0.076169928051019,-0.0804712125156041,-0.0810289935722448,5.7275
10891,-0.076166428776755,-0.0733011137483868,-0.0185830721614855,5.79
18783,-0.0761721885254625,-0.080473564744123,-0.081031380474431,6.22
1692,-0.0761720199826726,-0.0787086834824807,-0.0792404834982229,6.67
17436,-0.0761715178613132,-0.0804728668572953,-0.0807487056879301,7.17
22092,-0.0746946516079532,-0.0747823378248213,-0.0752562604693564,7.33
5168,-0.0760998736633016,-0.0340877047986349,-0.0467592142237783,7.47
337,-0.0761622988595183,-0.0804632736504355,-0.0797672085319112,7.49
18598,-0.0761712381256668,-0.0793985114096569,-0.0771837895827734,7.54
13137,-0.0760992787093162,-0.080398170283438,-0.0809548746410936,7.55
18823,-0.0761707757160419,-0.0804720945878819,-0.0679788180381978,8.03
20711,-0.0761705758164539,-0.0715769319971681,-0.0720036044810878,8.23
12656,-0.0761704264590733,-0.0782416481254417,-0.076332241368023,8.55
13026,-0.076170291954913,-0.0749554352607131,-0.0721774610918385,8.55
18825,-0.0761701351709224,-0.0804714280426343,-0.0810292122763101,8.71
19196,-0.0761700638960951,-0.0804359194814118,-0.081001896514322,8.83
5031,-0.0752509315729259,-0.0794209005679248,-0.0799631992142585,8.99
5048,-0.075225409821087,-0.0794883556983264,-0.0800316486854447,9.14
20708,-0.0761699213464405,-0.0797270840308133,-0.0802738960581593,9.22
20449,-0.0761696903994964,-0.0804709652176571,-0.0810287426289349,9.25
17328,-0.0761698070591631,-0.0804710866126129,-0.0810288658133461,9.26
3370,-0.0761696404761731,-0.0802216640213754,-0.0757743215146338,9.43
15079,-0.0761695242290958,-0.0764233906681289,-0.0769215037005881,9.59
4728,-0.0761694681169308,-0.0804707339125028,-0.0810285079141637,9.81
20104,-0.0761690890503745,-0.0804703394593973,-0.0810281076465144,10.03
8918,-0.0761678548921853,-0.079401914421893,-0.0795701049097088,10.11
16562,-0.0761688117902649,-0.0792633848704844,-0.0798033616136321,10.26
22018,-0.0739724132102421,-0.0792711620367133,-0.078811607875929,10.67
14659,-0.0761685745513317,-0.0781844365665202,-0.0789725685523153,10.9
21079,-0.0761680200311123,-0.0771932438281145,-0.0788017743254149,11.37
2721,-0.0761626009781423,-0.0441006168682022,-0.0182783976665793,11.57
16109,-0.0761680529351209,-0.0779339359018507,-0.078454315539148,11.72
1903,-0.0761674037256229,-0.080468585726257,-0.0808000919579832,12.03
3411,-0.0761675210041738,-0.0804687077652177,-0.0655326149744304,12.07
22102,-0.0761419023969617,-0.0782797115621118,0.091393115460515,12.08
18018,-0.0761674641699772,-0.0670702242206471,-0.0716258518235293,12.11
11915,-0.0761619123147783,-0.080462871415602,0.0398601928404836,12.185
16676,-0.0761674759287765,-0.0804686608601818,-0.0810264043034484,12.54
16333,-0.0761676220885888,-0.0698377204377323,-0.0702387555983467,12.54
20723,-0.0761668468330142,-0.0802180210099165,-0.0807720698279723,12.86
16430,-0.0761596087763111,-0.0804309765278297,-0.0809881644748965,13.76
20218,-0.0761661821514119,-0.0797249130897217,-0.0802716931157172,13.79
4464,-0.0761612100875362,-0.079829490842053,-0.0792195773251395,14.03
10149,-0.076165769561963,-0.0804668852308691,-0.0810141132003313,14.14
16052,-0.0761656990091672,-0.0799184989208057,-0.0804681325516499,14.15
2367,-0.0761528614947576,-0.0804243025959531,-0.0809813921641031,14.32
574,-0.0731501817482026,-0.040418710399313,-0.0558095947865211,14.6
2304,-0.0761514482727475,0.0370865423681569,0.0412180363982599,14.95
930,-0.0761569896584891,-0.0804577489456066,-0.0715919655455471,15.46
16945,-0.076164701471027,-0.0804657737854521,-0.0810234746710047,15.56
16358,-0.0761641265276298,-0.0801482693037676,-0.0807012899277363,16.3
16432,-0.0761639318885573,-0.0695245153875634,-0.0699209336635393,16.6
5537,-0.0760060511320507,-0.078021287955299,-0.0784706025156743,16.63
5488,-0.0761552438893832,-0.0280335441100546,-0.0530459382312704,17.34
10418,-0.076163072155293,-0.0795812659878008,-0.0796403969369716,17.54
179,-0.0725486123035809,-0.025318893133293,-0.030954903881207,17.65
4780,-0.076156495582624,0.0397134527667891,0.0259666536198758,17.95
18896,-0.0761630377040741,-0.0663221949166455,-0.0656539575009985,17.98
11459,-0.076162333517032,-0.0799779706423546,-0.0804215928929301,18.97
21453,-0.0759784971708809,-0.0690248271487845,-0.0447906953734732,19.58
19453,-0.0761614882243985,-0.0803099788848927,-0.0808024738454784,19.775
17627,-0.0761605292633717,-0.0799841505150082,-0.0805347519011188,20.7
15256,-0.0761600464305691,-0.0758990146917635,-0.076389398016835,21.28
21043,-0.0761601279169853,-0.0804610145879834,-0.081018645319285,21.31
17105,-0.0761597815481429,-0.0804606541598124,-0.0810182795781241,21.5
5299,-0.0761579548083576,-0.0730417715112751,-0.0734900368623819,22.41
20043,-0.0761591104714041,-0.0796422457545558,-0.0801878072001049,22.5
4507,-0.0761385824959607,-0.0804430131435929,-0.0809854014300363,22.61
4002,-0.0757865066131553,-0.0800722277610992,-0.0797353988896907,22.82
5367,-0.0761574353066677,-0.0791823603385854,-0.0794057789270518,22.92
12034,-0.0761584459960966,-0.080459264396871,-0.0810168693290021,23.26
18462,-0.0761580081355439,-0.0778831368892479,-0.0785977237411345,23.46
14031,-0.0761582022588796,-0.0798918586850695,-0.0804410996182383,23.55
3551,-0.0713239889877865,-0.0746130058891304,-0.0750844324499904,23.676666666666662
7337,-0.0761579548083576,-0.0798324993424054,-0.0804461546446707,23.73
9884,-0.0761580927163809,-0.079453778690438,-0.0799965619857219,23.78
16003,-0.0761570520626433,-0.0804578138827845,-0.0810153974332164,25.08
5103,-0.0761053043719235,-0.0641645403472894,-0.0681100685777696,25.18
3601,-0.0761337363234406,-0.0804418885390057,-0.0809992373375553,25.46
19300,-0.0761560672116286,-0.0804577386415255,-0.0810146960118119,26.13
20619,-0.0761555613769642,-0.0804562626892388,-0.0810138233738783,26.24
19244,-0.0761555498244596,-0.08045585539181,-0.0810134100725704,26.54
18779,-0.0761565552705643,-0.0796681043828051,-0.0801334649813392,26.57333333333333
5611,-0.076155784433135,-0.0768845734537801,-0.0693458193025566,26.67
3969,-0.0761549187688975,-0.0804555939973076,-0.0810088377816299,27.01
16370,-0.0761556745296206,-0.0795667899881659,-0.0801112391573691,27.1
4010,-0.0757731150942631,-0.0800582926720562,-0.0806099869708952,27.45
14687,-0.076141058754686,-0.0224952895308127,-0.0169406530447949,27.88
15361,-0.0761538183928371,-0.0804149014636055,-0.0799616105601271,27.98
13936,-0.0761544865814497,-0.0752091110582135,-0.0757115378093325,28.15
68,-0.0761411103283671,-0.0802198719878225,-0.0807983645962651,28.27
784,-0.0758845745866886,-0.0801824183166197,-0.0790176611599105,28.34
19095,-0.0761563905139236,-0.0804437500974004,-0.0810011263367603,29.344237288135595
9557,-0.0761536238569119,-0.0783905683766554,-0.079380407665304,29.35
12076,-0.0761389885871258,-0.0673965145683353,-0.0676092848995086,29.535
14741,-0.0761386573809457,-0.0804386725494198,-0.0809959739417961,30.13
7134,-0.0761527584505427,-0.0804533459902759,-0.0805938653608325,30.37
5142,-0.0761542065363612,-0.080454852854806,-0.0707578317042301,30.44
11321,-0.0761525391592506,-0.0765622205226796,-0.0702777998538629,30.57
10665,-0.0761519357471815,-0.074145894214935,-0.074544020983012,30.98
505,-0.0761380334941252,-0.080438023338642,-0.0809750194130026,31.125
13355,-0.076152104032103,-0.080447167155186,-0.0760767851162032,31.130000000000003
15857,-0.0761520097038402,-0.0571124962156724,-0.0573259517309348,31.27
157,-0.0696273320936454,-0.0752849667606964,-0.0757662985444255,32.26142857142857
20884,-0.0761505508906961,-0.0804510488241905,-0.0810085326524273,32.31
